parameter_name,Cornea vascularisation
analysis_id,4l8e5nth4sis962
parameter_id,ESLIM_014_001_008
gene_accession_id,MGI:3650254
pvalue,0.1103342
mouse_strain,C57BL
gene_symbol,Zfp683
mouse_life_stage,Early adult
