parameter_name,Iron
analysis_id,0g005srm0d942re
gene_accession_id,MGI:2444777
mouse_strain,C57BL
gene_symbol,Ncaph
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
pvalue,0.6427261
