gene_symbol,Nanp
parameter_id,MGP_IMM_067_001
analysis_id,b7nl3t265i65294
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
pvalue,0.5840659
parameter_name,CD11b-low cDC - % of cDC
mouse_strain,C57BL
