gene_symbol,Cisd2
pvalue,0.8282907
parameter_name,Lumbar processes
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
analysis_id,kmbk4zmi89lu6nq
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
