analysis_id,670k0l67hc44764
mouse_life_stage,E12.5
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:88174
parameter_name,Thyroxine
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.8878378
