gene_symbol,Kdm5b
pvalue,0.4827862
parameter_name,Total NK cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
analysis_id,1u3nmq12bde485y
gene_accession_id,MGI:1922855
