gene_symbol,KCNG1
parameter_name,Neutrophil percentage
mouse_strain,C57BL
gene_accession_id,MGI:3616086
analysis_id,e82229aio9dy7m0
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
pvalue,0.3963347
