parameter_name,Humerus
pvalue,0.06401519
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
analysis_id,qy5hx2a33396hy3
gene_symbol,Bmi1
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
