parameter_name,Fusion of vertebrae
pvalue,0.5446972
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
mouse_strain,C57BL
gene_symbol,Ap5s1
parameter_id,M-G-P_006_001_026
analysis_id,wd7475v1o18kd41
