Analysis_id,r6468l1p02dshcj
parameter_id,IMPC_ECH_008_001
pvalue,0.07918509
Mouse_life_stage,Early adult
Gene_symbol,Cntfr
Parameter_name,LVIDd
Gene_accession_id,MGI:99605
Mouse_strain,129SV
