analysis_id,91lax1o4a6g57g5
parameter_id,GMC_906_001_005
gene_symbol,Pum1
mouse_strain,C57BL
parameter_name,Potassium
gene_accession_id,MGI:1931749
pvalue,0.05931884
mouse_life_stage,Early adult
