gene_symbol,Bach2
pvalue,0.6605924
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:894679
analysis_id,xjpif25g715wdfp
