analysis_id,5p0x186o85trn1a
parameter_name,Alanine aminotransferase
gene_symbol,Slc30a4
mouse_strain,C57BL
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_013_001
pvalue,0.5062207
