gene_symbol,Ssr2
mouse_life_stage,Early adult
analysis_id,0iy8q50h82oblb3
gene_accession_id,MGI:1913506
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
pvalue,0.9409995
