parameter_name,Alanine aminotransferase
pvalue,0.9701292
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
analysis_id,360l6iug1d06m89
parameter_id,IMPC_CBC_013_001
gene_symbol,Nanp
mouse_strain,C57BL
