parameter_id,JAX_URI_002_001
analysis_id,1y650cil0i1m3df
pvalue,0.9745456
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
gene_symbol,Casq1
parameter_name,Creatinine
mouse_strain,C57BL
