parameter_id,MGP_PBI_003_001
analysis_id,35o87550688w1d9
pvalue,0.3775193
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914515
parameter_name,CD4+ alpha beta T cell percentage
gene_symbol,Slc39a10
