analysis_id,g2858to58778a26
gene_symbol,Stk35
gene_accession_id,MGI:1914583
mouse_strain,C57BL
parameter_name,Placenta Morphology
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
pvalue,0.167072
