gene_symbol,Duoxa2
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1914061
pvalue,0.9179696
mouse_strain,C57BL
analysis_id,h8q1096e9712535
mouse_life_stage,Early adult
