analysis_id,01ws8168286mslg
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
parameter_name,Corneal opacity
gene_accession_id,MGI:2673000
pvalue,0.712939
gene_symbol,Trim46
mouse_life_stage,Early adult
