analysis_id,6yju4j1izt4zyrn
pvalue,0.7930624
gene_accession_id,MGI:1920638
mouse_strain,C57BL
gene_symbol,Bpifa3
mouse_life_stage,Early adult
parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
