analysis_id,1vqxn6qhhi70us2
pvalue,0.622593
parameter_id,MGP_IMM_081_001
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_life_stage,Early adult
mouse_strain,C57BL
