analysis_id,k956q939t0c6p8n
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
parameter_name,Light side time spent
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
gene_symbol,Sgip1
pvalue,0.9246558
