analysis_id,ig0660t9e040686
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
parameter_id,IMPC_IMM_050_001
parameter_name,Neutrophils
mouse_strain,C57BL
pvalue,0.5193507
gene_accession_id,MGI:2441730
