analysis_id,9w6ro49e87ja9y7
pvalue,0.2315188
mouse_life_stage,Early adult
parameter_name,Conditioning Baseline % Freezing Time
parameter_id,IMPC_FEA_003_001
gene_accession_id,MGI:109356
mouse_strain,C57BL
gene_symbol,Snap23
