analysis_id,kfg801s0d4izj1f
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Car13
gene_accession_id,MGI:1931322
pvalue,0.4222816
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
