analysis_id,915f27a2da9g6u4
parameter_name,Ly6Clow monocyte number
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
mouse_strain,C57BL
gene_accession_id,MGI:1923029
parameter_id,MGP_PBI_038_001
pvalue,0.3993731
