analysis_id,5i1ff0f3487705b
pvalue,0.2621731
mouse_strain,C57BL
parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_name,Cue Baseline % Freezing Time
