gene_symbol,Pex19
analysis_id,7ysj39750250646
mouse_strain,C57BL
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:1334458
mouse_life_stage,Early adult
parameter_name,Ulna
pvalue,0.7418322
