parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:104640
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
analysis_id,ux8tt9dv3z67i0k
pvalue,0.1454176
gene_symbol,Rab17
mouse_strain,C57BL
