parameter_name,lens
analysis_id,7zij21l5zdfartt
parameter_id,M-G-P_014_001_009
pvalue,0.9825404
mouse_life_stage,Early adult
gene_symbol,Kifap3
gene_accession_id,MGI:107566
mouse_strain,C57BL
