gene_symbol,Bcs1l
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.5191686
parameter_name,Skull shape
gene_accession_id,MGI:1914071
analysis_id,1oe288689019k97
