parameter_name,Body Length
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,M-G-P_005_001_006
gene_symbol,Lpgat1
pvalue,0.2215229
analysis_id,bni87e3eey51852
gene_accession_id,MGI:2446186
