gene_symbol,Dhdds
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_010_001
pvalue,0.6851106
parameter_name,Phosphorus
analysis_id,14h73hih592299y
gene_accession_id,MGI:1914672
