gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,MGP_IMM_010_001
mouse_life_stage,Early adult
analysis_id,m4z0ha0vc33j07n
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
pvalue,0.7420215
