analysis_id,7vi59e7g533u2h2
pvalue,0.7383493
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
gene_symbol,Dcaf12
parameter_name,Spleen weight
mouse_strain,C57BL
gene_accession_id,MGI:1916220
