parameter_name,BMC/Body weight
mouse_life_stage,Early adult
pvalue,0.2148871
mouse_strain,C57BL
gene_symbol,Slc2a8
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1860103
analysis_id,29sb458mmig85e3
