gene_symbol,Bdh2
pvalue,0.889863
parameter_name,Vocalization
gene_accession_id,MGI:1917022
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,nwsl2s5jx4p47nv
parameter_id,IMPC_CSD_078_001
