analysis_id,jofzs256j797d50
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,IMPC_HEM_029_001
mouse_life_stage,Late adult
parameter_name,Neutrophil differential count
mouse_strain,C57BL
pvalue,0.3666813
