analysis_id,8e40148a3b6z1q3
parameter_name,Lean mass
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_003_001
pvalue,0.3920846
gene_accession_id,MGI:96757
mouse_strain,C57BL
gene_symbol,Lcn2
