Parameter_name,Blood Vessel Morphology
Mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
Gene_symbol,Ppm1j
mouse_life_stage,Early adult
Gene_accession_id,MGI:1919137
Pvalue,0.3039754
analysis_id,79hl4732a4rpl10
