parameter_name,Periphery resting time
analysis_id,2xkb34rl9a5v50n
pvalue,0.9675343
gene_symbol,Gja10
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
gene_accession_id,MGI:1339969
