parameter_name,Weight
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
analysis_id,uf4x51u683gyfth
pvalue,0.6570924
gene_symbol,Ola1
mouse_strain,C57BL
