gene_symbol,Mms22l
parameter_id,MGP_PBI_002_001
pvalue,0.3101655
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2684980
parameter_name,Alpha beta T cell percentage
analysis_id,6qo73xyv9jr4721
