gene_symbol,Pex19
gene_accession_id,MGI:1334458
mouse_life_stage,E18.5
analysis_id,m4432in28g2fi26
parameter_name,Zygomatic bone
pvalue,0.7213799
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
