parameter_name,Blood Vessel Morphology
pvalue,0.5223129
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_symbol,Dmap1
analysis_id,p5c2243kj7562q9
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
