parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
pvalue,0.2198907
analysis_id,0113rvc71q3n72y
gene_symbol,Cpa3
parameter_name,Tibia
mouse_strain,C57BL
gene_accession_id,MGI:88479
