analysis_id,q29f82qtu7253fa
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7893345
parameter_id,M-G-P_016_001_006
gene_symbol,Maco1
gene_accession_id,MGI:1913396
