parameter_name,Alanine aminotransferase
pvalue,0.2876623
analysis_id,jwn7367i55224lc
mouse_life_stage,Early adult
gene_symbol,Sgip1
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:1920344
mouse_strain,C57BL
