analysis_id,ymo4b0fbhi07919
mouse_strain,C57BL
gene_accession_id,MGI:3588214
pvalue,0.3480262
parameter_name,Transitional B Cells (CD21/35 low)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_069_001
gene_symbol,Rufy4
