parameter_name,Lean mass
gene_symbol,Slc17a9
parameter_id,JAXLA_DXA_003_001
analysis_id,lobsm571yvp66g0
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1101405
