gene_symbol,Bpifa3
parameter_name,Zygomatic bone
analysis_id,2h6s72hj0mlkvd0
parameter_id,IMPC_XRY_002_001
pvalue,0.06132063
mouse_strain,129SV
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
