analysis_id,172l9185zhg4djx
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
gene_symbol,Ola1
gene_accession_id,MGI:1914309
pvalue,0.9546814
mouse_strain,C57BL
