parameter_id,JAX_SLW_014_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Frmpd1
pvalue,0.4993097
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:2446274
analysis_id,1oz087b92x4943r
