parameter_id,IMPC_IPG_011_001
gene_accession_id,MGI:2441730
pvalue,0.5569313
mouse_life_stage,Late adult
parameter_name,Initial response to glucose challenge
gene_symbol,Tbl1xr1
analysis_id,vvq4cnp7g9a9plt
mouse_strain,C57BL
