analysis_id,79yy40kk3rh8332
gene_accession_id,MGI:1927232
parameter_name,Right kidney weight
pvalue,0.3281062
parameter_id,IMPC_OWT_004_001
gene_symbol,Rab13
mouse_life_stage,Early adult
mouse_strain,C57BL
