analysis_id,68x3f8b4c1l1136
gene_accession_id,MGI:2448481
mouse_strain,C57BL
gene_symbol,Mgst2
mouse_life_stage,Early adult
pvalue,0.3405632
parameter_id,M-G-P_014_001_009
parameter_name,lens
