analysis_id,21h6py5n9i30eb4
parameter_id,IMPC_CSD_079_001
mouse_life_stage,Early adult
parameter_name,Aggression
gene_symbol,Trdmt1
pvalue,0.1965176
gene_accession_id,MGI:1274787
mouse_strain,C57BL
