gene_symbol,Tatdn3
analysis_id,q6rrujtl5105u7f
parameter_id,HRWLLA_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,Early adult
pvalue,0.1603086
gene_accession_id,MGI:1916222
mouse_strain,C57BL
