gene_symbol,Rab17
gene_accession_id,MGI:104640
analysis_id,2tt98199s4j0355
mouse_life_stage,Early adult
parameter_name,Monocyte percentage
pvalue,0.7558435
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
