analysis_id,834om6cx7226orj
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
gene_accession_id,MGI:1338022
gene_symbol,Opn3
mouse_life_stage,Early adult
pvalue,0.7206729
