analysis_id,l4647m639339k97
mouse_life_stage,Early adult
pvalue,0.561115
gene_accession_id,MGI:105072
parameter_name,Iron
gene_symbol,Rab22a
mouse_strain,C57BL
parameter_id,IMPC_CBC_011_001
