analysis_id,ipjq182gn125zc6
parameter_name,Periphery average speed
parameter_id,HRWLLA_OFD_013_001
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.3953722
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
