parameter_name,Placenta Size
gene_accession_id,MGI:1915806
mouse_life_stage,Early adult
pvalue,0.6885105
parameter_id,IMPC_GPP_004_001
mouse_strain,C54BL
gene_symbol,Uckl1
analysis_id,j922c14y33nf69h
